Region	raw total sequences:	filtered sequences:	sequences:	is sorted:	1st fragments:	last fragments:	reads mapped:	reads mapped and paired:	reads unmapped:	reads properly paired:	reads paired:	reads duplicated:	reads MQ0:	reads QC failed:	non-primary alignments:	supplementary alignments:	total length:	total first fragment length:	total last fragment length:	bases mapped:	bases mapped (cigar):	bases trimmed:	bases duplicated:	mismatches:	error rate:	average length:	average first fragment length:	average last fragment length:	maximum length:	maximum first fragment length:	maximum last fragment length:	average quality:	insert size average:	insert size standard deviation:	inward oriented pairs:	outward oriented pairs:	pairs with other orientation:	pairs on different chromosomes:	percentage of properly paired reads (%):
ENA|CP002684|CP002684.1:270471-270571	24	0	24	1	12	12	23	22	1	6	24	0	18	0	0	22	3713	2040	1673	3414	3568	0	0	99	2.774664e-02	155	170	139	300	300	300	34.9	98.5	16.5	1	1	0	6	25.0
ENA|CP002684|CP002684.1:493601-498900	1230	0	1230	1	614	616	1229	1228	1	1227	1230	0	3	0	0	3	347729	177567	170162	347623	337335	0	0	425	1.259875e-03	283	289	276	300	300	300	36.7	451.2	140.8	540	45	0	0	99.8
ENA|CP002684|CP002684.1:549902-550111	92	0	92	1	52	40	92	92	0	91	92	0	5	0	0	3	21999	14481	7518	21999	20966	0	0	384	1.831537e-02	239	278	188	300	300	300	35.9	502.5	112.7	16	0	0	0	98.9
ENA|CP002686|CP002686.1:22522201-22534400	1510	0	1510	1	758	752	1506	1502	4	1426	1510	0	944	0	0	111	422922	216717	206205	422253	377451	0	0	8246	2.184654e-02	280	286	274	300	300	300	36.7	624.6	1226.0	633	88	0	18	94.4
ENA|CP002686|CP002686.1:22541301-22547900	529	0	529	1	269	260	528	527	1	490	529	0	0	0	0	59	150194	78093	72101	150150	141122	0	0	972	6.887658e-03	284	290	277	300	300	300	36.7	743.6	1230.7	203	25	0	0	92.6
ENA|CP002686|CP002686.1:22559887-22560442	88	0	88	1	44	44	88	88	0	76	88	0	0	0	0	77	25919	13065	12854	25919	25651	0	0	146	5.691786e-03	295	297	292	300	300	300	37.0	620.5	371.4	24	5	0	0	86.4
ENA|CP002686|CP002686.1:22562701-22563500	41	0	41	1	21	20	41	41	0	31	41	0	0	0	0	22	12062	6258	5804	12062	10604	0	0	49	4.620898e-03	294	298	290	300	300	300	37.1	2827.3	3658.6	7	3	5	0	75.6
ENA|CP002686|CP002686.1:22568201-22592200	1158	0	1158	1	582	576	1150	1142	8	852	1158	0	730	0	0	384	324394	168080	156314	323292	301899	0	0	10355	3.429955e-02	280	289	271	300	300	300	36.7	1625.2	2794.6	403	70	12	66	73.6
ENA|CP002686|CP002686.1:21455524-21455639	104	0	104	1	52	52	104	104	0	104	104	0	0	0	0	0	30286	15297	14989	30286	29765	0	0	61	2.049387e-03	291	294	288	300	300	300	36.6	431.6	116.2	25	5	0	0	100.0
ENA|CP002686|CP002686.1:21272673-21272780	93	0	93	1	44	49	93	93	0	93	93	0	0	0	0	0	26922	12705	14217	26922	26631	0	0	459	1.723555e-02	289	289	290	300	300	300	36.7	410.5	101.7	27	2	0	0	100.0
ENA|CP002685|CP002685.1:11770800-11775047	1435	0	1435	1	726	709	1434	1433	1	1433	1435	0	0	0	0	3	409979	211107	198872	409896	403718	0	0	2284	5.657414e-03	286	291	280	300	300	300	36.8	481.5	136.2	638	38	0	0	99.9
